comment,tokens
عام طور پر لوگ سینما فلم دیکھنے ہی جاتے ہیں اگر آپ شروع میں لگنے والا قومی ترانہ سننے یا دیکھنے گئے تھے تو سلام ہے آپ کو,"['عام', 'طور', 'پر', 'لوگ', 'سینما', 'فلم', 'دیکھ', 'نے', 'ہی', 'جاتے', 'ہیں', 'اگر', 'آپ', 'شروع', 'میں', 'لگ', 'نے', 'والا', 'قومی', 'ترانہ', 'سن', 'نے', 'یا', 'دیکھ', 'نے', 'گئے', 'تھے', 'تو', 'سلام', 'ہے', 'آپ', 'کو']"
اصل میں سال بھر کی جتنی موویز آتی ہیں وہ شاید دیکھی جاتی ہیں یہ معاملہ ہے میں نے گزشتہ سالوں کی موویز لکھی ہیں اب جیسے کافی اور موویز ہیں جو ابھی نہیں لکھی میں نے,"['اصل', 'میں', 'سال', 'بھر', 'کی', 'جتنی', 'موویز', 'آتی', 'ہیں', 'وہ', 'شاید', 'دیکھی', 'جاتی', 'ہیں', 'یہ', 'معاملہ', 'ہے', 'میں', 'نے', 'گزشتہ', 'سالوں', 'کی', 'موویز', 'لکھی', 'ہیں', 'اب', 'جی', 'سے', 'کافی', 'اور', 'موویز', 'ہیں', 'جو', 'ا', 'بھی', 'نہیں', 'لکھی', 'میں', 'نے']"
فلم دیکھنا گناہ ہے جیسا کہ اوپر آپ کا اپنا بیان ہے سو اسی حوالے سے اعتراف کیا تھا کہ اس فلم کے معاملے میں بھی گناہ گار ہوں,"['فلم', 'دیکھنا', 'گناہ', 'ہے', 'جیسا', 'کہ', 'اوپر', 'آپ', 'کا', 'اپنا', 'بیان', 'ہے', 'سو', 'اسی', 'حوالے', 'سے', 'اعتراف', 'کیا', 'تھا', 'کہ', 'اس', 'فلم', 'کے', 'معاملے', 'میں', 'بھی', 'گناہ', 'گار', 'ہوں']"
میں یہ سیریز آج کل تو نہیں دیکھ رہا لیکن اسے تجویز ضرور کروں گا کہ یہ میری چند پسندیدہ ترین سنجیدہ ٹی وی سیریز میں سے ایک ہے,"['میں', 'یہ', 'سیریز', 'آج', 'کل', 'تو', 'نہیں', 'دیکھ', 'رہا', 'لیکن', 'ا', 'سے', 'تجویز', 'ضرور', 'کروں', 'گا', 'کہ', 'یہ', 'میری', 'چند', 'پسندیدہ', 'ترین', 'سنجیدہ', 'ٹی', 'وی', 'سیریز', 'میں', 'سے', 'ایک', 'ہے']"
سیریز کا نام ہے پرزن بریک,"['سیریز', 'کا', 'نا', 'م', 'ہے', 'پرزن', 'بریک']"
خلاصہ کچھ یوں ہے کہ جب ایک فطین سٹرکچوئل انجنئیر کے بھائی کو بے گناہ ہونے کے باوجود موت کی سزا سنائی جاتی ہے تو وہ اپنے بھائی کو آزاد کرانے کے لیے باقاعدہ ایک منصوبے کے تحت خود ایک جرم کرکے جیل چلا جاتا ہے,"['خلاصہ', 'کچھ', 'یوں', 'ہے', 'کہ', 'جب', 'ایک', 'فطین', 'سٹرکچوئل', 'انجنئیر', 'کے', 'بھائی', 'کو', 'بے', 'گناہ', 'ہو', 'نے', 'کے', 'باوجود', 'موت', 'کی', 'سزا', 'سنائی', 'جاتی', 'ہے', 'تو', 'وہ', 'اپ', 'نے', 'بھائی', 'کو', 'آزاد', 'کرا', 'نے', 'کے', 'لیے', 'باقاعدہ', 'ایک', 'منصوبے', 'کے', 'تحت', 'خود', 'ایک', 'جرم', 'کرکے', 'جیل', 'چلا', 'جاتا', 'ہے']"
چار سیزن صرف جیل سے فرار کے متعلق ہی ہیں یا فرار کے بعد بھی کہانی آگے بڑھتی ہے,"['چار', 'سیزن', 'صرف', 'جیل', 'سے', 'فرار', 'کے', 'متعلق', 'ہی', 'ہیں', 'یا', 'فرار', 'کے', 'بعد', 'بھی', 'کہانی', 'آگے', 'بڑھتی', 'ہے']"
پہلا سیزن جیل سے فرار ہونے کی کوششوں پر مبنی ہے جو کہ کامیاب فرار پر ختم ہوتا ہے,"['پہلا', 'سیزن', 'جیل', 'سے', 'فرار', 'ہو', 'نے', 'کی', 'کوششوں', 'پر', 'مبنی', 'ہے', 'جو', 'کہ', 'کامیاب', 'فرار', 'پر', 'ختم', 'ہوتا', 'ہے']"
کمال کی سیریز ہے مجھے تو اس کا ٹائٹل ٹریک ہی پانچ چھ بار سن کے سمجھ آیا تھا,"['کمال', 'کی', 'سیریز', 'ہے', 'مجھے', 'تو', 'اس', 'کا', 'ٹائٹل', 'ٹریک', 'ہی', 'پانچ', 'چھ', 'بار', 'سن', 'کے', 'سمجھ', 'آیا', 'تھا']"
س کا کوئی آنلائن لنک عنایت ہو یا یہ کس ٹی وہ چینل پہ لگتا ہے,"['س', 'کا', 'کوئی', 'آنلائن', 'لنک', 'عنایت', 'ہو', 'یا', 'یہ', 'کس', 'ٹی', 'وہ', 'چینل', 'پہ', 'لگتا', 'ہے']"
پہ اس وقت پانچواں سیزن آ رہا ہے ٹورنٹ کا ستعمال جانتے ہیں تو آسانی سے ڈاؤنلوڈ کر سکتے ہیں,"['پہ', 'اس', 'وقت', 'پانچواں', 'سیزن', 'آ', 'رہا', 'ہے', 'ٹورنٹ', 'کا', 'ستعمال', 'جانتے', 'ہیں', 'تو', 'آسانی', 'سے', 'ڈاؤنلوڈ', 'کر', 'سکتے', 'ہیں']"
میرا پسندیدہ کرادار ہاورڈ والووٹز کا ہے اس کے بغیر سیریز بیکار ہے اور پینی تو پھر پینی ہے,"['میرا', 'پسندیدہ', 'کرادار', 'ہاورڈ', 'والووٹز', 'کا', 'ہے', 'اس', 'کے', 'بغیر', 'سیریز', 'بیکار', 'ہے', 'اور', 'پینی', 'تو', 'پھر', 'پینی', 'ہے']"
ترکش ڈرامہ ہے آج کل یہ ہی دیکھ رہی ہوں,"['ترکش', 'ڈرامہ', 'ہے', 'آج', 'کل', 'یہ', 'ہی', 'دیکھ', 'ر', 'ہی', 'ہوں']"
میری تین سالہ بھتیجی بھی بڑے شوق سے دیکھتی ہے یہ مجھے کہتی ہے کہ شیزی چاچو جلدی جلدی فاطمہ گ ل لگا دو ورنہ بجلی چلی جائے گی,"['میری', 'تین', 'سالہ', 'بھتیجی', 'بھی', 'بڑے', 'شوق', 'سے', 'دیکھتی', 'ہے', 'یہ', 'مجھے', 'کہتی', 'ہے', 'کہ', 'شیزی', 'چاچو', 'جلدی', 'جلدی', 'فاطمہ', 'گ', 'ل', 'لگا', 'دو', 'ورنہ', 'بجلی', 'چلی', 'جائے', 'گی']"
طنز تو نہیں کر رہے نا مجھ پہ کہ بچوں کا ڈرامہ ہے,"['طنز', 'تو', 'نہیں', 'کر', 'رہے', 'نا', 'مجھ', 'پہ', 'کہ', 'بچوں', 'کا', 'ڈرامہ', 'ہے']"
یہ تو آپ خود بتاؤ کیوں کہ میں نے نہیں دیکھا کبھی اسے,"['یہ', 'تو', 'آپ', 'خود', 'بتاؤ', 'کیوں', 'کہ', 'میں', 'نے', 'نہیں', 'دیکھا', 'ک', 'بھی', 'ا', 'سے']"
کچھ دن قبل جیو ٹی وی کا مقبول ڈرامہخدا اور محبت دیکھا,"['کچھ', 'دن', 'قبل', 'جیو', 'ٹی', 'وی', 'کا', 'مقبول', 'ڈرامہخدا', 'اور', 'محبت', 'دیکھا']"
ہم دیکھ رہے ہیں قدوسی صاحب کی بیوہ,"['ہم', 'دیکھ', 'رہے', 'ہیں', 'قدوسی', 'صاحب', 'کی', 'بیوہ']"
اچھا ڈرامہ ہے تھوڑا چینج اچھا لگتا ہے بہت سارے پاکستانی ڈرامے دیکھ دیکھ کے انسان یکسانیت کا شکار ہو جاتا ہے,"['اچھا', 'ڈرامہ', 'ہے', 'تھوڑا', 'چینج', 'اچھا', 'لگتا', 'ہے', 'بہت', 'سارے', 'پاکستانی', 'ڈرامے', 'دیکھ', 'دیکھ', 'کے', 'انسان', 'یکسانیت', 'کا', 'شکار', 'ہو', 'جاتا', 'ہے']"
پاکستانی ڈرامہ جب سے کوے کی چال چلا ہے اپنی ہنس کی چال بھول گیا ہے یکسانیت اور بوریت کا شکار ہونا یقینی ہے,"['پاکستانی', 'ڈرامہ', 'جب', 'سے', 'کوے', 'کی', 'چال', 'چلا', 'ہے', 'اپنی', 'ہنس', 'کی', 'چال', 'بھول', 'گیا', 'ہے', 'یکسانیت', 'اور', 'بوریت', 'کا', 'شکار', 'ہونا', 'یقینی', 'ہے']"
میں ان دنوں شب دیگ دیکھنے کا پروگرام بنا رہا ہوں,"['میں', 'ان', 'دنوں', 'شب', 'دیگ', 'دیکھ', 'نے', 'کا', 'پروگرام', 'بنا', 'رہا', 'ہوں']"
زیش بھائی یہ ڈرامہ آپ کیسے دیکھ لیتے ہو,"['زیش', 'بھائی', 'یہ', 'ڈرامہ', 'آپ', 'کی', 'سے', 'دیکھ', 'لیتے', 'ہو']"
کیوں اس ڈرامے کو دیکھنے کیلیے کوئی سپیشل چیز چاہئیے کیا,"['کیوں', 'اس', 'ڈرامے', 'کو', 'دیکھ', 'نے', 'کیلیے', 'کوئی', 'سپیشل', 'چیز', 'چاہئیے', 'کیا']"
اس کا دوسرا سیزن کب تک آ رہا ہے,"['اس', 'کا', 'دوسرا', 'سیزن', 'کب', 'تک', 'آ', 'رہا', 'ہے']"
ایسے ڈراموں کو دیکھنے کے لیے بڑا حوصلہ چاہیے,"['ای', 'سے', 'ڈراموں', 'کو', 'دیکھ', 'نے', 'کے', 'لیے', 'بڑا', 'حوصلہ', 'چاہیے']"
خاص کر میرے جیسے لوگوں کو جنہوں نے پی ٹی وی کا سنہرا دور دیکھ رکھا ہے,"['خاص', 'کر', 'میرے', 'جی', 'سے', 'لوگوں', 'کو', 'جنہوں', 'نے', 'پی', 'ٹی', 'وی', 'کا', 'سنہرا', 'دور', 'دیکھ', 'رکھا', 'ہے']"
جو لوگ ترک ڈرامے دیکھ رہے ہیں ان کو کیا فرق محسوس ہوا ایک الگ تہذیب اور میں,"['جو', 'لوگ', 'ترک', 'ڈرامے', 'دیکھ', 'رہے', 'ہیں', 'ان', 'کو', 'کیا', 'فرق', 'محسوس', 'ہوا', 'ایک', 'الگ', 'تہذیب', 'اور', 'میں']"
تک بھی کافی اچھے ڈرامے ہوتے تھے,"['تک', 'بھی', 'کافی', 'اچھے', 'ڈرامے', 'ہوتے', 'تھے']"
زبیر مرزا\ بھائیآئی ایم ڈی بی کی تصاویر دوسری سائٹز پر نظر نہیں آتیں,"['زبیر', 'مرزا', 'بھائیآئی', 'ایم', 'ڈی', 'بی', 'کی', 'تصاویر', 'دوسری', 'سائٹز', 'پر', 'نظر', 'نہیں', 'آتیں']"
ایسا وہ اپنی بینڈ وڈتھ بچانے کے لیے کرتے ہیں,"['ایسا', 'وہ', 'اپنی', 'بینڈ', 'وڈتھ', 'بچا', 'نے', 'کے', 'لیے', 'کرتے', 'ہیں']"
پہلا سیزن دیکھ رہا ہوں,"['پہلا', 'سیزن', 'دیکھ', 'رہا', 'ہوں']"
پہلی سیریز,"['پہلی', 'سیریز']"
ایک ہی سیریز نہیں ہے جس کا پہلا سیزن چل رہا ہے,"['ایک', 'ہی', 'سیریز', 'نہیں', 'ہے', 'جس', 'کا', 'پہلا', 'سیزن', 'چل', 'رہا', 'ہے']"
جی بالکل خوش باش ویسے میرا خیال تھا کہ شایدکوئی پہلے والی سیریز دیکھ رہے ہوں,"['جی', 'بالکل', 'خوش', 'باش', 'وی', 'سے', 'میرا', 'خیال', 'تھا', 'کہ', 'شایدکوئی', 'پہلے', 'والی', 'سیریز', 'دیکھ', 'رہے', 'ہوں']"
یہی کہ کیا میں بھی م ن ا بن سکتا ہوں,"['ی', 'ہی', 'کہ', 'کیا', 'میں', 'بھی', 'م', 'ن', 'ا', 'بن', 'سکتا', 'ہوں']"
جو دوست پی ٹی سی ایل براڈبینڈ کے علاوہ کوئی اور پرووائڈر استعمال کرتے ہیں وہ بتائیں کیا اس پہ چل رہے ہیں ٹورنٹ,"['جو', 'دوست', 'پی', 'ٹی', 'سی', 'ایل', 'براڈبینڈ', 'کے', 'علاوہ', 'کوئی', 'اور', 'پرووائڈر', 'استعمال', 'کرتے', 'ہیں', 'وہ', 'بتائیں', 'کیا', 'اس', 'پہ', 'چل', 'رہے', 'ہیں', 'ٹورنٹ']"
وائی ٹرائیب پر چلتے ہیں,"['وائی', 'ٹرائیب', 'پر', 'چلتے', 'ہیں']"
ویسے واقعی نیلم یہ ڈرامہ دیکھنے کے لیے بندے کو کافی صبر اور برداشت سے کام لینا پڑتا ہے,"['وی', 'سے', 'واقعی', 'نیلم', 'یہ', 'ڈرامہ', 'دیکھ', 'نے', 'کے', 'لیے', 'بندے', 'کو', 'کافی', 'صبر', 'اور', 'برداشت', 'سے', 'کام', 'لینا', 'پڑتا', 'ہے']"
جی بالکل اور خاص کر یہ ڈرامہ اس کو میں ایک نظر دیکھ کے ہی چینل بدل دیتی ہوں,"['جی', 'بالکل', 'اور', 'خاص', 'کر', 'یہ', 'ڈرامہ', 'اس', 'کو', 'میں', 'ایک', 'نظر', 'دیکھ', 'کے', 'ہی', 'چینل', 'بد', 'ل', 'دیتی', 'ہوں']"
فلم اور ڈاکیومنٹری کیلئے نیا دھاگہ تو بن گیا ہے ٹی وی دیکھنے والے خواتین و حضرات یہاں تشریف لائیں,"['فلم', 'اور', 'ڈاکیومنٹری', 'کیلئے', 'نیا', 'دھاگہ', 'تو', 'بن', 'گیا', 'ہے', 'ٹی', 'وی', 'دیکھ', 'نے', 'والے', 'خواتین', 'و', 'حضرات', 'یہاں', 'تشریف', 'لا', 'ئیں']"
شہزاد وحیدحسیب نذیر\ گلمحسن وقار علی,"['شہزاد', 'وحیدحسیب', 'نذیر', 'گلمحسن', 'وقار', 'علی']"
تو اسی لیے نہیں دیکھتے نہ,"['تو', 'اسی', 'لیے', 'نہیں', 'دیکھتے', 'نہ']"
میں صدقے سیڈرز لیچرز تو چیک کرو ذرا کے,"['میں', 'صدقے', 'سیڈرز', 'لیچرز', 'تو', 'چیک', 'کرو', 'ذرا', 'کے']"
کتنا جذبہ ہے لوگوں میں ٹی وی سیریز کا,"['کتنا', 'جذبہ', 'ہے', 'لوگوں', 'میں', 'ٹی', 'وی', 'سیریز', 'کا']"
بھائی جسطرح لوگ اس سریز کا انتظار کر رہے تھے شاید ہی کسی اور فلم یا سیریز کا کیا گیا ہو,"['بھائی', 'جسطرح', 'لوگ', 'اس', 'سریز', 'کا', 'انتظار', 'کر', 'رہے', 'تھے', 'شاید', 'ہی', 'کسی', 'اور', 'فلم', 'یا', 'سیریز', 'کا', 'کیا', 'گیا', 'ہو']"
ہم بھی انہی لوگوں میں شامل تھے\ جی جان سے سیڈنگ کریں گے,"['ہم', 'بھی', 'ان', 'ہی', 'لوگوں', 'میں', 'شامل', 'تھے', 'جی', 'جان', 'سے', 'سیڈنگ', 'کریں', 'گے']"
لنک دیجئے گا میرے ایک دوست بھی بڑی تعریف کر رہے تھے کیا ہے ذرا میں بھی تو دیکھوں,"['لنک', 'دیجئے', 'گا', 'میرے', 'ایک', 'دوست', 'بھی', 'بڑی', 'تعریف', 'کر', 'رہے', 'تھے', 'کیا', 'ہے', 'ذرا', 'میں', 'بھی', 'تو', 'دیکھوں']"
لنک کیا اردو ون اور ایکسپریس انٹرٹینمنٹ پہ آتے ہیں,"['لنک', 'کیا', 'اردو', 'ون', 'اور', 'ایکسپریس', 'انٹرٹینمنٹ', 'پہ', 'آتے', 'ہیں']"
ٹائم ہی ٹائم ہے آپ کہو تو آپ کے حصے کا بھی دیکھ لیا کریں,"['ٹائم', 'ہی', 'ٹائم', 'ہے', 'آپ', 'کہو', 'تو', 'آپ', 'کے', 'حصے', 'کا', 'بھی', 'دیکھ', 'لیا', 'کریں']"
ہم تو ٹی وی دیکھنے کے عادی نہیں ہیں,"['ہم', 'تو', 'ٹی', 'وی', 'دیکھ', 'نے', 'کے', 'عادی', 'نہیں', 'ہیں']"
البتہ بیگم کلر ٹی وی کی بالیکا ودھودیکھتی ہیں,"['البتہ', 'بیگم', 'کلر', 'ٹی', 'وی', 'کی', 'بالیکا', 'ودھودیکھتی', 'ہیں']"
کبھی کبھی ان کی معیت میں ہم بھی دیکھ لیتے ہیں,"['ک', 'بھی', 'ک', 'بھی', 'ان', 'کی', 'معیت', 'میں', 'ہم', 'بھی', 'دیکھ', 'لیتے', 'ہیں']"
اینڈی کی تو کیا بات تھی لیکن لیئم نے بھی وار آف ڈیمنڈ میں کمال کر دیا,"['اینڈی', 'کی', 'تو', 'کیا', 'بات', 'تھی', 'لیکن', 'لیئم', 'نے', 'بھی', 'وار', 'آف', 'ڈیمنڈ', 'میں', 'کمال', 'کر', 'دیا']"
ویسے آپ کس قسم کا اینڈ چاہتے تھے,"['وی', 'سے', 'آپ', 'کس', 'قسم', 'کا', 'اینڈ', 'چاہتے', 'تھے']"
گینکس کے ساتھ اچھا نہیں کیا اس نے تو ہتھیار ہی پھینک دئیے,"['گینکس', 'کے', 'ساتھ', 'اچھا', 'نہیں', 'کیا', 'اس', 'نے', 'تو', 'ہتھیار', 'ہی', 'پھینک', 'دئیے']"
سلطانہ صدیقی اور عمیرہ احمد کے نام اور کام کی وجہ سے ہم ٹی وی کا یہ ڈرامہ دیکھ رہے ہیں,"['سلطانہ', 'صدیقی', 'اور', 'عمیرہ', 'احمد', 'کے', 'نا', 'م', 'اور', 'کام', 'کی', 'وجہ', 'سے', 'ہم', 'ٹی', 'وی', 'کا', 'یہ', 'ڈرامہ', 'دیکھ', 'رہے', 'ہیں']"
گیم آف تھرونز کی بڑی تعریفیں سننے کے بعد بالآخر آج سے اس کی اقساط دیکھنے کا قصد کیا ہے,"['گیم', 'آف', 'تھرونز', 'کی', 'بڑی', 'تعریفیں', 'سن', 'نے', 'کے', 'بعد', 'بالآخر', 'آج', 'سے', 'اس', 'کی', 'اقساط', 'دیکھ', 'نے', 'کا', 'قصد', 'کیا', 'ہے']"
میں تو سب اردو ڈرامے دیکھنے کا قائل ہوں اور بہت سارے دیکھ بھی رہا ہوں,"['میں', 'تو', 'سب', 'اردو', 'ڈرامے', 'دیکھ', 'نے', 'کا', 'قائل', 'ہوں', 'اور', 'بہت', 'سارے', 'دیکھ', 'بھی', 'رہا', 'ہوں']"
میں تو عرصہ ایک سال سے ٹی وی سیریز اسٹار گیٹ دیکھ رہی ہوں,"['میں', 'تو', 'عرصہ', 'ایک', 'سال', 'سے', 'ٹی', 'وی', 'سیریز', 'اسٹار', 'گیٹ', 'دیکھ', 'ر', 'ہی', 'ہوں']"
شہزاد وحید\ آپ سیریس کس طرح ڈانلوڈ کرتے ہیں,"['شہزاد', 'وحید', 'آپ', 'سیریس', 'کس', 'طرح', 'ڈانلوڈ', 'کرتے', 'ہیں']"
آپ نے کون سی کرنی ہے بتا دیں میں سب سے آسان والا طریقہ بتا دوں گا,"['آپ', 'نے', 'کون', 'سی', 'کرنی', 'ہے', 'بتا', 'دیں', 'میں', 'سب', 'سے', 'آسان', 'والا', 'طریقہ', 'بتا', 'دوں', 'گا']"
وہی ہاؤ آئی میٹ یور مدر,"['و', 'ہی', 'ہاؤ', 'آئی', 'میٹ', 'یور', 'مدر']"
سوموار کو اس کے آٹھویں سیزن کی آخری قسط آئے گی,"['سوموار', 'کو', 'اس', 'کے', 'آٹھویں', 'سیزن', 'کی', 'آخری', 'قسط', 'آئے', 'گی']"
کوئی بھی انگلش مووی یا سیریس ہو کوئی خاص نہیں سوچی,"['کوئی', 'بھی', 'انگلش', 'مووی', 'یا', 'سیریس', 'ہو', 'کوئی', 'خاص', 'نہیں', 'سوچی']"
میں تو ٹورنٹ کا استعمال کرتا ہوں,"['میں', 'تو', 'ٹورنٹ', 'کا', 'استعمال', 'کرتا', 'ہوں']"
پسندیدہ سائٹز,"['پسندیدہ', 'سائٹز']"
یہاں تو اپنی ہی فلم بن کے نہیں دے رہی تو دوسرے کی دیکھنے کی فرصت کیسے نکالوں,"['یہاں', 'تو', 'اپنی', 'ہی', 'فلم', 'بن', 'کے', 'نہیں', 'دے', 'ر', 'ہی', 'تو', 'دوسرے', 'کی', 'دیکھ', 'نے', 'کی', 'فرصت', 'کی', 'سے', 'نکالوں']"
ایک سیزن میں زیادہ قسطیں نہیں ہوتیں سے قسطیں ہوتی ہیں,"['ایک', 'سیزن', 'میں', 'زیادہ', 'قسطیں', 'نہیں', 'ہوتیں', 'سے', 'قسطیں', 'ہوتی', 'ہیں']"
میں نے رابن ہوڈ مووی ابھی آدھی دیکھی ہے جب ٹائم ملے گا تو پوری دیکھ لوں گی,"['میں', 'نے', 'رابن', 'ہوڈ', 'مووی', 'ا', 'بھی', 'آدھی', 'دیکھی', 'ہے', 'جب', 'ٹائم', 'ملے', 'گا', 'تو', 'پوری', 'دیکھ', 'لوں', 'گی']"
چلیں جی وہ ارکان محفل جو صرف فلم ڈاکیومنٹری یا پھر ڈرامے کے بارے میں بتانا یا بات کرنا چاہیں وہ اس دھاگے پر آئیں,"['چلیں', 'جی', 'وہ', 'ارکان', 'محفل', 'جو', 'صرف', 'فلم', 'ڈاکیومنٹری', 'یا', 'پھر', 'ڈرامے', 'کے', 'بارے', 'میں', 'بتانا', 'یا', 'بات', 'کرنا', 'چاہیں', 'وہ', 'اس', 'دھاگے', 'پر', 'آئیں']"
اور جنکو ادکاروں اور بلخصوص ادکاراؤں کے بارے میں بات کرنی ہے وہ الگ دھاگا کھول لیں,"['اور', 'جن', 'کو', 'ادکاروں', 'اور', 'بلخصوص', 'ادکاراؤں', 'کے', 'بارے', 'میں', 'بات', 'کرنی', 'ہے', 'وہ', 'الگ', 'دھاگا', 'کھول', 'لیں']"
اب\ وجی\ بھائی نے ہمیں ٹھرکی قرار دیتے ہوئے یہاں سے بھی بین کر دیا,"['اب', 'وجی', 'بھائی', 'نے', 'ہمیں', 'ٹھرکی', 'قرار', 'دیتے', 'ہوئے', 'یہاں', 'سے', 'بھی', 'بین', 'کر', 'دیا']"
آپ آجائیں اور جو مووی یا ڈاکیومینٹری دیکھی ہو اسکا بتا دیں صرف,"['آپ', 'آجائیں', 'اور', 'جو', 'مووی', 'یا', 'ڈاکیومینٹری', 'دیکھی', 'ہو', 'اسکا', 'بتا', 'دیں', 'صرف']"
